"query","candidate","type","p_relevant","p_irrelevant","adj_score","margin","keep","decision"
,,"T","0.923525","0.076475","0.923525","0.84705","True","keep"
,,"S","0.966532","0.033469","0.966532","0.933063","True","keep"
,,"T","0.923939","0.076061","0.923939","0.847878","True","keep"
,,"S","0.939003","0.060997","0.939003","0.878006","True","keep"
,,"T","0.932125","0.067875","0.932125","0.86425","True","keep"
,,"S","0.95259","0.04741","0.95259","0.90518","True","keep"
,,"S","0.605028","0.394972","0.605028","0.210056","True","keep"
,,"S","0.9422","0.0578","0.9422","0.8844","True","keep"
,,"S","0.930911","0.069089","0.930911","0.861822","True","keep"
,,"T","0.894346","0.105654","0.894346","0.788692","True","keep"
,,"S","0.975907","0.024093","0.975907","0.951814","True","keep"
,,"S","0.543186","0.456814","0.543186","0.0863719999999999","True","keep"
,,"S","0.504511","0.495489","0.504511","0.00902200000000003","True","keep"
,,"S","0.92667","0.07333","0.92667","0.85334","True","keep"
,,"S","0.958985","0.041015","0.958985","0.91797","True","keep"
,,"S","0.922695","0.077305","0.922695","0.84539","True","keep"
,,"S","0.791401","0.208599","0.791401","0.582802","True","keep"
,,"S","0.974147","0.025853","0.974147","0.948294","True","keep"
,,"S","0.972488","0.027512","0.972488","0.944976","True","keep"
,,"S","0.974586","0.025414","0.974586","0.949172","True","keep"
,,"S","0.950322","0.049678","0.950322","0.900644","True","keep"
,,"S","0.528427","0.471573","0.528427","0.056854","True","keep"
,,"S","0.810642","0.189358","0.810642","0.621284","True","keep"
,,"T","0.954118","0.045882","0.954118","0.908236","True","keep"
,,"T","0.972592","0.027408","0.972592","0.945184","True","keep"
,,"S","0.514929","0.485071","0.514929","0.029858","True","keep"
,,"S","0.876682","0.123318","0.876682","0.753364","True","keep"
,,"S","0.950892","0.049108","0.950892","0.901784","True","keep"
,,"T","0.938345","0.061655","0.938345","0.87669","True","keep"
,,"S","0.430696","0.569304","0.430696","-0.138608","True","keep"
,,"T","0.926064","0.073936","0.926064","0.852128","True","keep"
,,"T","0.791346","0.208654","0.791346","0.582692","True","keep"
,,"S","0.954946","0.045054","0.954946","0.909892","True","keep"
,,"S","0.96699","0.03301","0.96699","0.93398","True","keep"
,,"T","0.949004","0.050996","0.949004","0.898008","True","keep"
,,"T","0.894024","0.105976","0.894024","0.788048","True","keep"
,,"T","0.97254","0.027459","0.97254","0.945081","True","keep"
,,"S","0.137679","0.862321","0.137679","-0.724642","True","keep"
,,"T","0.946061","0.053939","0.946061","0.892122","True","keep"
,,"S","0.907957","0.092043","0.907957","0.815914","True","keep"
,,"S","0.873403","0.126597","0.873403","0.746806","True","keep"
,,"S","0.936987","0.063013","0.936987","0.873974","True","keep"
,,"S","0.927276","0.072724","0.927276","0.854552","True","keep"
,,"S","0.33707","0.66293","0.33707","-0.32586","True","keep"
,,"S","0.743287","0.256713","0.743287","0.486574","True","keep"
,,"S","0.893411","0.106589","0.893411","0.786822","True","keep"
,,"S","0.371008","0.628992","0.371008","-0.257984","True","keep"
,,"S","0.971922","0.028078","0.971922","0.943844","True","keep"
,,"S","0.879569","0.120431","0.879569","0.759138","True","keep"
,,"S","0.478496","0.521504","0.478496","-0.043008","True","keep"
,,"S","0.496133","0.503867","0.496133","-0.00773399999999996","True","keep"
,,"T","0.953019","0.046981","0.953019","0.906038","True","keep"
